business_id,reporting_period,maintenance_category_key,metric_id,metric_value,metric_unit,metric_status,source_value,source_workbook,source_sheet,source_row
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_property,inspection_cycle_years,0.1,years,numeric,0.1,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18
ausnet_transmission,2019-20,substations_equipment_property_maintenance::substation_property,maintenance_cycle_years,0.5,years,numeric,0.5,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,18
ausnet_transmission,2019-20,scada_network_control_maintenance::scada_network_control,asset_quantity_at_year_end,19208.54821,count,numeric,19208.54821,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19
ausnet_transmission,2019-20,scada_network_control_maintenance::scada_network_control,quantity_inspected_maintained,9604.274105,count,numeric,9604.274105,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19
ausnet_transmission,2019-20,scada_network_control_maintenance::scada_network_control,average_age_of_asset_group,18.424150728842253,years,numeric,18.424150728842253,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19
ausnet_transmission,2019-20,scada_network_control_maintenance::scada_network_control,inspection_cycle_years,4.0,years,numeric,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19
ausnet_transmission,2019-20,scada_network_control_maintenance::scada_network_control,maintenance_cycle_years,4.0,years,numeric,4.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,19
ausnet_transmission,2019-20,protection_systems_maintenance::protection_systems,asset_quantity_at_year_end,6556.999999999998,count,numeric,6556.999999999998,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20
ausnet_transmission,2019-20,protection_systems_maintenance::protection_systems,quantity_inspected_maintained,4371.333333333332,count,numeric,4371.333333333332,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20
ausnet_transmission,2019-20,protection_systems_maintenance::protection_systems,average_age_of_asset_group,15.528809514029994,years,numeric,15.528809514029994,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20
ausnet_transmission,2019-20,protection_systems_maintenance::protection_systems,inspection_cycle_years,3.0,years,numeric,3.0,AusNet (T) 2019-20 - Category Analysis - RIN Response - Consolidated - 28 July 2020 - PUBLIC(11429287.3).xlsx,2.8 Maintenance,20
