reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row
2013-14,,TRANSMISSION LINES MAINTENANCE ACCESS TRACKS,$000's,841.5559081810125,2382.2302083608033,Copy of D14-00150087(V02) - transgrid (t) 2013-14 - category analysis rin response - templates - consolidated - 31 october 2014 - public.xlsm,2.8 Maintenance,23
2015-16,Transmission lines maintenance,Transmission towers,$0's,2009278.6005934,7210284.13744427,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,50
2015-16,Transmission lines maintenance,Transmission tower support structures,$0's,1001427.27027129,3378776.73421985,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,51
2015-16,Transmission lines maintenance,Conductors,$0's,235864.239010056,1872118.8886096799,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,52
2015-16,Transmission lines maintenance,Transmission cables,$0's,486821.910125254,122007.499726203,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,53
2015-16,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,2166651.9647527896,4253544.14582415,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,54
2015-16,Substations equipment & property maintenance,Substation power transformers,$0's,976159.5582476769,2288707.53153679,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,55
2015-16,Substations equipment & property maintenance,Substation property,$0's,3913646.76699953,4078865.8826390603,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,56
2015-16,SCADA & network control maintenance,SCADA & network control maintenance,$0's,1760423.29,270048.56,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,57
2015-16,Protection systems maintenance,Protection systems maintenance,$0's,2048701.83,974846.04,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,58
2015-16,Other maintenance activity ,Row Maintenance ,$0's,1872730.18,130082.79999999999,Copy of D16 147530(V3)  ElectraNet 2015-16 - Category Analysis RIN Response - Public Version - 31 October 2016 - PUBLIC.xlsm,2.8 Maintenance,59
2016-17,Transmission lines maintenance,Transmission towers,$0's,1562206.7935996205,9570469.938571462,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,50
2016-17,Transmission lines maintenance,Transmission tower support structures,$0's,1454450.0905011678,3463140.6388111305,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,51
2016-17,Transmission lines maintenance,Conductors,$0's,453582.3827922948,1816430.6389303135,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,52
2016-17,Transmission lines maintenance,Transmission cables,$0's,461082.6331069165,17138.983687092703,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,53
2016-17,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,1695642.8516198865,3019848.5343423737,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,54
2016-17,Substations equipment & property maintenance,Substation power transformers,$0's,786941.5309154363,1660064.3025820693,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,55
2016-17,Substations equipment & property maintenance,Substation property,$0's,3418355.207464677,3360762.4830755573,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,56
2016-17,SCADA & network control maintenance,SCADA & network control maintenance,$0's,2099512.68,488261.72,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,57
2016-17,Protection systems maintenance,Protection systems maintenance,$0's,2384134.49,1236963.26,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,58
2016-17,Other maintenance activity ,Right of way (Row Maintenance),$0's,1945579.0,93318.94,Copy of D17 153782  ElectraNet 2016-17 - Category Analysis RIN - Template - 31 October 2017 - PUBLIC.xlsm,2.8 Maintenance,59
2017-18,Transmission lines maintenance,Transmission towers,$0's,4177862.10514913,5675314.13182753,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,50
2017-18,Transmission lines maintenance,Transmission tower support structures,$0's,,,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,51
2017-18,Transmission lines maintenance,Conductors,$0's,28748.3889688488,343931.623777213,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,52
2017-18,Transmission lines maintenance,Transmission cables,$0's,662774.294686661,689718.708652011,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,53
2017-18,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,1173863.00427586,3283259.88303203,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,54
2017-18,Substations equipment & property maintenance,Substation power transformers,$0's,545966.136139566,798383.317680584,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,55
2017-18,Substations equipment & property maintenance,Substation property,$0's,2469935.40054315,8052590.83557238,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,56
2017-18,SCADA & network control maintenance,SCADA & network control maintenance,$0's,136809.594954812,331027.741679467,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,57
2017-18,Protection systems maintenance,Protection systems maintenance,$0's,735456.972983647,1380826.43590891,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,58
2017-18,Other maintenance activity ,Metering,$0's,482089.686120312,43819.1956546995,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,59
2017-18,,Communications,$0's,298879.942721164,2993641.89730328,DORIS - D18-158142 Transgrid 2017-18 - Category Analysis RIN - Templates - Public.XLSM,2.8 Maintenance,60
2017-18,Transmission lines maintenance,Transmission towers,$0's,2515164.371675874,5874736.413742936,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,50
2017-18,Transmission lines maintenance,Transmission tower support structures,$0's,1649465.6972125957,2271658.2473206692,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,51
2017-18,Transmission lines maintenance,Conductors,$0's,626458.6092627628,1302510.387721392,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,52
2017-18,Transmission lines maintenance,Transmission cables,$0's,235938.32184876784,199164.26121500094,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,53
2017-18,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,2225441.713219717,5400925.2048059385,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,54
2017-18,Substations equipment & property maintenance,Substation power transformers,$0's,1043835.1014564371,2813243.165154318,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,55
2017-18,Substations equipment & property maintenance,Substation property,$0's,4309324.585323845,3834776.610039743,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,56
2017-18,SCADA & network control maintenance,SCADA & network control maintenance,$0's,2215616.06,663537.9099999999,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,57
2017-18,Protection systems maintenance,Protection systems maintenance,$0's,2344982.17,1429107.9000000001,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,58
2017-18,Other maintenance activity ,,$0's,,,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,59
2017-18,,Row Maintenance,$0's,1868309.06,134253.11,DORIS - D18-158267 ElectraNet 2017-18 - Category Analysis RIN - Template - Public.XLSM,2.8 Maintenance,60
2018-19,Transmission lines maintenance,Transmission towers,$0's,994076.2956654347,6880611.581712978,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,50
2018-19,Transmission lines maintenance,Transmission tower support structures,$0's,1617614.6741036212,4969409.495663943,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,51
2018-19,Transmission lines maintenance,Conductors,$0's,454836.78895756346,715449.2474741903,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,52
2018-19,Transmission lines maintenance,Transmission cables,$0's,225361.77127338113,65255.13514888802,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,53
2018-19,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,1602748.123932074,3474023.1777615887,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,54
2018-19,Substations equipment & property maintenance,Substation power transformers,$0's,1347494.2205976425,2278718.9252144117,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,55
2018-19,Substations equipment & property maintenance,Substation property,$0's,3945482.5354702836,3214370.187024,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,56
2018-19,SCADA & network control maintenance,SCADA & network control maintenance,$0's,2457409.29,426543.22,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,57
2018-19,Protection systems maintenance,Protection systems maintenance,$0's,2914166.19,1297531.01,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,58
2018-19,Other maintenance activity ,RIGHT OF WAY (ROW) MAINTENANCE,$0's,2105455.32,79228.40000000001,ElectraNet 2018-19 - Category Analysis - RIN Response - Consolidated - 31 October 2019 - PUBLIC D19-175655.xlsx,2.8 Maintenance,59
2019-20,Transmission lines maintenance,Transmission towers,$0's,1306314.492090787,7634433.802887562,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,50
2019-20,Transmission lines maintenance,Transmission tower support structures,$0's,1221250.0540978282,2210627.9938008096,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,51
2019-20,Transmission lines maintenance,Conductors,$0's,580093.7756964684,1659713.375585338,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,52
2019-20,Transmission lines maintenance,Transmission cables,$0's,485863.27811491524,88104.47772629201,ElectraNet 2019-20 - Category Analysis - RIN Response - Consolidated - 30 October 2020 - PUBLIC (#11672792).xlsx,2.8 Maintenance,53
