reporting_period,maintenance_activity,maintenance_asset_category,measure_asset_quantity,source_unit,asset_quantity_at_year_end,quantity_inspected_maintained,average_age_of_asset_group,inspection_cycle_years,maintenance_cycle_years,source_workbook,source_sheet,source_row
2022-23,Transmission lines maintenance,Transmission cables,Route length,km,8.542370333333333,17.084740666666665,29.134999999999998,1.0,1.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,15
2022-23,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),Number of switchbays,0's,1218.0,8005.0,21.963875833424417,1.0,6.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,16
2022-23,Substations equipment & property maintenance,Substation power transformers,Number of transformers,0's,184.0,2095.0,28.10122699386503,1.0,4.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,17
2022-23,Substations equipment & property maintenance,Substation property,Number of substation properties maintained,0's,47.0,1857.0,41.96521739130435,0.083,0.5,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,18
2022-23,SCADA & network control maintenance,SCADA & network control maintenance,Units,,20981.11759000001,10490.558795000004,19.335684559751524,4.0,4.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,19
2022-23,Protection systems maintenance,Protection systems maintenance,Units,,6680.999999999999,4453.999999999999,16.09722464688453,3.0,3.0,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,20
2022-23,Other maintenance activity ,,,,,,,,,Ausnet Services (ET) 2022-23 - Category Analysis - RIN Response - Consolidated - 28 July 2023 - PUBLIC(15600825.1).xlsx,2.8 Maintenance,21
2023-24,Transmission lines maintenance,Transmission towers,Number of towers,number,13180.0,14644.444444444445,53.753869499241276,1.0,9.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,13
2023-24,Transmission lines maintenance,Transmission tower support structures,Number of towers,number,62770.0,41846.666666666664,50.88018161542138,3.0,3.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,14
2023-24,Transmission lines maintenance,Conductors,Route length,km,6533.498306666666,2177.832768888889,47.1287401205571,3.0,0.0,Ausnet Services (ET) 2023-24 - Category Analysis - RIN Response - Consolidated - 26 July 2024 - PUBLIC(17069098.2).xlsx,2.8 Maintenance,15
