reporting_period,maintenance_activity,maintenance_asset_subcategory,source_currency_unit,routine_maintenance_expenditure,non_routine_maintenance_expenditure,source_workbook,source_sheet,source_row,business,landing_page_url,source_page_url,metadata_match_status,maintenance_activity_resolved,activity_resolution_status,activity_anchor_source_row,row_classification,analytic_row_eligible,maintenance_activity_standard_id,maintenance_activity_standard,maintenance_asset_standard_id,maintenance_asset_standard,activity_mapping_status,asset_mapping_status,currency_standard,price_basis,currency_scale_factor,currency_unit_status,routine_maintenance_expenditure_standard,routine_maintenance_expenditure_status,non_routine_maintenance_expenditure_standard,non_routine_maintenance_expenditure_status,total_maintenance_expenditure_standard,total_maintenance_expenditure_status
2021-22,Transmission lines maintenance,Transmission towers,$0's,1151669.7852612073,177756.19650105145,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,50,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,50,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_towers,Transmission towers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1151669.7852612073,numeric,177756.19650105145,numeric,1329425.9817622588,numeric
2021-22,Transmission lines maintenance,Transmission tower support structures,$0's,282416.586784404,23167.900443144543,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,51,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,51,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_tower_support_structures,Transmission tower support structures,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,282416.586784404,numeric,23167.900443144543,numeric,305584.48722754855,numeric
2021-22,Transmission lines maintenance,Conductors,$0's,984155.484102794,5306.700985895725,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,52,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,52,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,conductors,Conductors,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,984155.484102794,numeric,5306.700985895725,numeric,989462.1850886897,numeric
2021-22,Transmission lines maintenance,Transmission cables,$0's,0.0,3339.4102755443664,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,53,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Transmission lines maintenance,submitted,53,meaningful,True,transmission_lines_maintenance,Transmission lines maintenance,transmission_cables,Transmission cables,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,0.0,numeric,3339.4102755443664,numeric,3339.4102755443664,numeric
2021-22,Substations equipment & property maintenance,Substation switchbays (incl. Reactive plant),$0's,4635055.651136602,6708283.324724818,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,54,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,54,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_switchbays,Substation switchbays (incl. Reactive plant),mapped,mapped,AUD,nominal,1.0,standardized_source_unit,4635055.651136602,numeric,6708283.324724818,numeric,11343338.975861419,numeric
2021-22,Substations equipment & property maintenance,Substation power transformers,$0's,1167823.426612792,2158755.4960138574,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,55,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,55,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_power_transformers,Substation power transformers,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,1167823.426612792,numeric,2158755.4960138574,numeric,3326578.9226266495,numeric
2021-22,Substations equipment & property maintenance,Substation property,$0's,908839.0131524244,3291536.11676183,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,56,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Substations equipment & property maintenance,submitted,56,meaningful,True,substations_equipment_property_maintenance,Substations equipment & property maintenance,substation_property,Substation property,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,908839.0131524244,numeric,3291536.11676183,numeric,4200375.129914255,numeric
2021-22,SCADA & network control maintenance,SCADA & network control maintenance,$0's,514547.98277334135,186549.55619921075,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,57,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,SCADA & network control maintenance,submitted,57,meaningful,True,scada_network_control_maintenance,SCADA & network control maintenance,scada_network_control,SCADA & network control maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,514547.98277334135,numeric,186549.55619921075,numeric,701097.5389725522,numeric
2021-22,Protection systems maintenance,Protection systems maintenance,$0's,761087.580176445,228260.2580946501,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,58,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Protection systems maintenance,submitted,58,meaningful,True,protection_systems_maintenance,Protection systems maintenance,protection_systems,Protection systems maintenance,mapped,mapped,AUD,nominal,1.0,standardized_source_unit,761087.580176445,numeric,228260.2580946501,numeric,989347.8382710951,numeric
2021-22,Other maintenance activity ,,$0's,,,AusNet (T) 2021-22 - Category Analysis - RIN Response - Consolidated - 28 July 2022 - PUBLIC(14205738.1).xlsx,2.8 Maintenance,59,AusNet Transmission,https://www.aer.gov.au/documents/ausnet-services-transmission-2021-22-category-analysis-rin-templates,https://www.aer.gov.au/authors/ausnet-services-t?page=4,validated_manifest_match,Other maintenance activity ,submitted,59,empty_template_row,False,,,,,not_applicable,not_applicable,,,,not_applicable,,blank,,blank,,blank
